prefecture,total_facilities,duplicate_records,unique_cities
Hokkaido,128,0,43
Aomori,37,0,11
Iwate,29,0,9
Miyagi,51,0,22
Akita,40,0,10
Yamagata,30,0,11
Fukushima,47,0,11
Ibaraki,69,0,27
Tochigi,45,0,13
Gunma,56,0,16
Saitama,141,0,49
Chiba,102,0,35
Tokyo,359,0,51
Kanagawa,103,0,37
Niigata,52,0,20
Toyama,32,0,11
Ishikawa,38,0,11
Fukui,29,0,10
Yamanashi,20,0,13
Nagano,64,0,23
Gifu,54,0,22
Shizuoka,91,0,28
Aichi,179,0,51
Mie,43,0,14
Shiga,35,0,12
Kyoto,78,0,23
Osaka,300,0,62
Hyogo,132,0,34
Nara,37,0,11
Wakayama,37,0,10
Tottori,20,0,3
Shimane,31,0,10
Okayama,43,0,12
Hiroshima,78,0,21
Yamaguchi,24,0,9
Tokushima,27,0,11
Kagawa,28,0,7
Ehime,37,0,10
Kochi,17,0,5
Fukuoka,121,0,37
Saga,13,0,7
Nagasaki,44,0,14
Kumamoto,43,0,16
Oita,29,0,10
Miyazaki,33,0,7
Kagoshima,57,0,19
Okinawa,26,0,12
